Model,Field,MRR,P@5,R@5,F1@5,NDCG@5,Hit@5
bge-m3,content,1.0,0.9400000000000001,0.006240769694615419,0.012335912411786217,0.947036528278596,1.0
bge-m3,metadata,0.95,0.9400000000000001,0.006223222815766495,0.012301455244695461,0.9277273427355048,1.0
bge-large,content,0.95,0.9199999999999999,0.006081760199618933,0.012020692658885496,0.9131205077512341,1.0
gte-large,metadata,1.0,0.8800000000000001,0.005662735012534495,0.011190874243847286,0.9023511752794102,1.0
bge-large,metadata,1.0,0.8800000000000001,0.005680281891383419,0.011225331410938042,0.9023511752794102,1.0
legal-bert,metadata,1.0,0.8600000000000001,0.005422291054514361,0.010722202854084043,0.8809525488059574,1.0
gte-large,content,0.95,0.8800000000000001,0.005782713113808913,0.01142716501794406,0.8800877007595836,1.0
legal-bert,content,0.6083333333333333,0.58,0.0027682314004755905,0.005488162867102256,0.5342573998756386,1.0
